"team_id","franchiseId","shortName","teamName","abbreviation","link"
"1","23","New Jersey","Devils","NJD","/api/v1/teams/1"
"4","16","Philadelphia","Flyers","PHI","/api/v1/teams/4"
"26","14","Los Angeles","Kings","LAK","/api/v1/teams/26"
"23","20","Vancouver","Canucks","VAN","/api/v1/teams/23"
